Treatment	Segment	LifeGift	Secretin
6475	AscendingColon	LG3	116.71665
6475	UpperIleum	LG4	119.60776
6475	UpperJejunum	LG4	122.24932
6475	LowerIleum	LG3	122.4627
6475	LowerJejunum	LG5	134.24038
6475	LowerIleum	LG3	136.050375
6475	LowerIleum	LG5	148.59002
6475	Duodenum	LG4	167.23006
6475	UpperJejunum	LG4	172.89806
6475	Duodenum	LG4	173.7519
6475	UpperIleum	LG4	175.33082
6475	Duodenum	LG3	178.56748
6475	Duodenum	LG4	178.8532
6475	UpperIleum	LG5	182.7308
6475	LowerJejunum	LG5	186.12498
6475	LowerIleum	LG3	189.632475
6475	UpperJejunum	LG4	196.80268
6475	LowerJejunum	LG5	210.132
6475	LowerJejunum	LG4	218.9156
6475	UpperIleum	LG5	234.0998
6475	UpperIleum	LG5	247.5848
6475	LowerJejunum	LG3	249.519
6475	UpperIleum	LG3	259.2
6475	LowerJejunum	LG4	267.9066
6475	UpperJejunum	LG3	322.546
6475	UpperIleum	LG3	323.992
6475	UpperJejunum	LG5	334.4601266
6475	UpperJejunum	LG3	336.0456
6475	LowerJejunum	LG3	338.91015
6475	UpperIleum	LG3	340
6475	UpperJejunum	LG5	347.5038184
6475	LowerJejunum	LG3	421.875
6475	UpperJejunum	LG5	433.7063406
6475	UpperJejunum	LG3	450
6475	LowerJejunum	LG4	454.208
6475	Duodenum	LG3	503.26612
6475	Duodenum	LG3	514.93134
